line,chorus_or_verse,chorus_or_verse_number,song
"I dreamt we spoke, I dreamt we spoke again",verse,1,I Dreamt We Spoke Again
"It'd been so long, it'd been so long my mind filled in the blanks",verse,1,I Dreamt We Spoke Again
"I dreamt we spoke, I dreamt we spoke again",verse,1,I Dreamt We Spoke Again
"It'd been so long, it'd been so long, your voice was like a ghost",verse,1,I Dreamt We Spoke Again
In my head,chorus,1,I Dreamt We Spoke Again
In my head,chorus,1,I Dreamt We Spoke Again
"Only in, yes, only in a dream",verse,2,I Dreamt We Spoke Again
"Is anything, is anything the way it used to be?",verse,2,I Dreamt We Spoke Again
"I dreamt we spoke, I dreamt we spoke again",verse,2,I Dreamt We Spoke Again
"But when I awoke, when I awoke I could not remember",verse,2,I Dreamt We Spoke Again
Anything you said,chorus,2,I Dreamt We Spoke Again
Anything you said,chorus,2,I Dreamt We Spoke Again
Anything you said,chorus,2,I Dreamt We Spoke Again
Anything you said,chorus,2,I Dreamt We Spoke Again
Sometimes I wake at night,verse,1,Summer Years
And watch the rain fall through the street lights,verse,1,Summer Years
'Cause you're standing still in my mind,verse,1,Summer Years
"Fading out, waving goodbye",verse,1,Summer Years
And I wonder where you are tonight,chorus,1,Summer Years
If the one you're with was a compromise,chorus,1,Summer Years
As we're walking lines in parallel,chorus,1,Summer Years
That will never meet and it's just as well,chorus,1,Summer Years
Sometimes I'm overcome,verse,2,Summer Years
By every choice I couldn't outrun,verse,2,Summer Years
The junctions all disappear,verse,2,Summer Years
You can't double back to your summer years,verse,2,Summer Years
And I wonder where you are tonight,chorus,1,Summer Years
If the one you're with was a compromise,chorus,1,Summer Years
As we're walking lines in parallel,chorus,1,Summer Years
That will never meet and it's just as well,chorus,1,Summer Years
And I wonder where you are tonight,chorus,1,Summer Years
If the one you're with was a compromise,chorus,1,Summer Years
As we're walking lines in parallel,chorus,1,Summer Years
That will never meet and it's just as well,chorus,1,Summer Years
It's just as well,chorus,1,Summer Years
And I wonder where you are tonight,chorus,1,Summer Years
If the one you're with was a compromise,chorus,1,Summer Years
As we're walking lines in parallel,chorus,1,Summer Years
That will never meet and it's just as well,chorus,1,Summer Years
And I wonder where you are tonight,chorus,1,Summer Years
If the one you're with was a compromise,chorus,1,Summer Years
As we're walking lines in parallel,chorus,1,Summer Years
That will never meet and it's just as well,chorus,1,Summer Years
It's just as well,chorus,1,Summer Years
Digging for gold in my neighborhood,verse,1,Gold Rush
Where all the old buildings stood,verse,1,Gold Rush
And they keep digging it down and down,verse,1,Gold Rush
So that their cars can live underground,verse,1,Gold Rush
The swinging of a wrecking ball,verse,1,Gold Rush
Through these lath and plaster walls,verse,1,Gold Rush
Is letting all the shadows free,verse,1,Gold Rush
The ones I wish still followed me,verse,1,Gold Rush
"Followed me, followed me",chorus,1,Gold Rush
"Followed me, followed me",chorus,1,Gold Rush
I remember a winter's night,verse,2,Gold Rush
We kissed beneath the street lamp light,verse,2,Gold Rush
Outside our bar near the record store,verse,2,Gold Rush
That have been condos for a year and more,verse,2,Gold Rush
Now that our haunts have taken flight,verse,2,Gold Rush
And been replaced with construction sites,verse,2,Gold Rush
"Oh, how I feel like a stranger here",verse,2,Gold Rush
Searching for something that's disappeared,verse,2,Gold Rush
Digging for gold in my neighborhood,verse,3,Gold Rush
For what they say is the greater good,verse,3,Gold Rush
But all I see is a long goodbye,verse,3,Gold Rush
A requiem for a skyline,verse,3,Gold Rush
It seems I never stopped losing you,verse,3,Gold Rush
As every dive becomes something new,verse,3,Gold Rush
And all our ghosts get swept away,verse,3,Gold Rush
It didn't used to be this way,verse,3,Gold Rush
"Be this way, be this way",chorus,2,Gold Rush
"Be this way, be this way",chorus,2,Gold Rush
"Be this way, be this way",chorus,2,Gold Rush
"Be this way, be this way",chorus,2,Gold Rush
I've ascribed these monuments,bridge,1,Gold Rush
A false sense of permanence,bridge,1,Gold Rush
I've placed faith in geography,bridge,1,Gold Rush
To hold you in my memory,bridge,1,Gold Rush
I'm sifting through these wreckage piles,bridge,1,Gold Rush
Through the rubble of bricks and wires,bridge,1,Gold Rush
Looking for something I'll never find,bridge,1,Gold Rush
Looking for something I'll never find,bridge,1,Gold Rush
Digging for gold in my neighborhood,verse,4,Gold Rush
Where all the old buildings stood,verse,4,Gold Rush
And they keep digging it down and down,verse,4,Gold Rush
So that their cars can live underground,verse,4,Gold Rush
It seems I never stopped losing you,verse,4,Gold Rush
As every dive becomes something new,verse,4,Gold Rush
And all our ghosts get swept away,verse,4,Gold Rush
It didn't used to be this way,verse,4,Gold Rush
Change,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
Please don't change,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
"Stay, stay the same",outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
Stay the same,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
It didn't used to be this way,outro,1,Gold Rush
Change,outro,1,Gold Rush
Please don't change,outro,1,Gold Rush
Stay,outro,1,Gold Rush
Stay the same,outro,1,Gold Rush
Heaven is a hole in the sky,verse,1,Your Hurricane
The stars are cracks in the ceiling of night,verse,1,Your Hurricane
And I just keep watching them for a sign,verse,1,Your Hurricane
That you'll be alright,verse,1,Your Hurricane
'Cause every time there's a knock on my door,verse,1,Your Hurricane
I fall to my hands and knees on the floor,verse,1,Your Hurricane
'Cause when your wreckage washes up on my shore,verse,1,Your Hurricane
You're not like before,verse,1,Your Hurricane
And you try to explain who's at fault for your mistakes,chorus,1,Your Hurricane
But I won't be the debris in your hurricane,chorus,1,Your Hurricane
You used to be such a delicate kid,verse,2,Your Hurricane
A lonely fish in a sea full of squid,verse,2,Your Hurricane
So I can't blame you for leaving how you did,verse,2,Your Hurricane
You just fell off the grid,verse,2,Your Hurricane
'Cause heaven is a hole in the sky,verse,2,Your Hurricane
And the stars are cracks in the ceiling of night,verse,2,Your Hurricane
But you can't be your own alibi,verse,2,Your Hurricane
As hard as you try,verse,2,Your Hurricane
It's a tired refrain you're singing over and over again,chorus,2,Your Hurricane
As you try to explain who's at fault for your mistakes,chorus,2,Your Hurricane
But I won't be the debris in your hurricane,chorus,2,Your Hurricane
I can't expect you to be honest,verse,1,When We Drive
Or to be faithful every day 'til the end,verse,1,When We Drive
I just need you to be always a friend,verse,1,When We Drive
As the sun sets over Dakotas,verse,1,When We Drive
Underneath a crimson ocean of sky,verse,1,When We Drive
Know I'll always want you by my side,verse,1,When We Drive
When we drive,chorus,1,When We Drive
When we drive,chorus,1,When We Drive
You and I were born in motion,verse,2,When We Drive
Never in one place for too long a time,verse,2,When We Drive
And now it's the only way we know to survive,verse,2,When We Drive
I like the way that your hair tangles,verse,2,When We Drive
The way your sun tan's only on one side,verse,2,When We Drive
We always keep the windows open wide,verse,2,When We Drive
When we drive,chorus,1,When We Drive
When we drive,chorus,1,When We Drive
Climb into the back seat and close your eyes,bridge,1,When We Drive
I've got the wheel,bridge,1,When We Drive
And dream of all the places only we will find,bridge,1,When We Drive
I can't expect you to be honest,verse,3,When We Drive
Or to be faithful every day 'til the end,verse,3,When We Drive
I just need you to be always a friend,verse,3,When We Drive
Until the engine kicks and sputters,verse,3,When We Drive
Until we roll the rubber off the tires,verse,3,When We Drive
Know I'll always need you by my side,verse,3,When We Drive
When we drive,chorus,1,When We Drive
When we drive,chorus,1,When We Drive
No more lighthouses to deceive me,verse,1,Autumn Love
Just leave me floating on the open ocean,verse,1,Autumn Love
And let the moonlight take me anywhere on a tidal flow,verse,1,Autumn Love
And if I capsize it's alright,verse,1,Autumn Love
'Cause I've been feeling too invincible,verse,1,Autumn Love
I need to know depths deeper than the deepest of connections,verse,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
This autumn love,chorus,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
Is not enough,chorus,1,Autumn Love
If there's no beacon tonight to guide me,verse,2,Autumn Love
I'll finally break the shackles of direction,verse,2,Autumn Love
And let the headlights lead me anywhere they wanna go,verse,2,Autumn Love
I feel at home now out on a bough,verse,2,Autumn Love
In the lattice of the backbone,verse,2,Autumn Love
Where the highways are holding in the pieces of our broken hearts,verse,2,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
This autumn love,chorus,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
Is not enough,chorus,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
This autumn love,chorus,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
Is not enough,chorus,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
This autumn love,chorus,1,Autumn Love
Oh oh oh oh oh,chorus,1,Autumn Love
Is not enough,outro,1,Autumn Love
Is not enough,outro,1,Autumn Love
Is not enough,outro,1,Autumn Love
Is not enough,outro,1,Autumn Love
Is not enough,outro,1,Autumn Love
I remember your silhouette on Dyes Inlet,verse,1,Northern Lights
Against the silver sheen of a moon like painted glass,verse,1,Northern Lights
Under stars out on a pier; a celestial sphere,verse,1,Northern Lights
We were weightless as the waves that disappeared,verse,1,Northern Lights
Northern lights filled our skies,chorus,1,Northern Lights
Empty nights synchronized,chorus,1,Northern Lights
We shared a clove cigarette on the parapet,verse,2,Northern Lights
As the TVs glowed from the windows of the model homes,verse,2,Northern Lights
And I'd never be that close again to your lips and perfect skin,verse,2,Northern Lights
As the tide receded into the unknown,verse,2,Northern Lights
Northern lights filled our skies,chorus,1,Northern Lights
Empty nights synchronized,chorus,1,Northern Lights
